Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_180_large  9.253900            1888                0                   0                   672                 18                  -                   -                   
Instance_181_large  5.996700            914                 0                   0                   280                 18                  -                   -                   
Instance_182_large  7.316000            968                 0                   0                   280                 18                  -                   -                   
Instance_183_large  6.025600            1298                0                   0                   280                 18                  -                   -                   
Instance_184_large  6.101200            1037                0                   0                   280                 18                  -                   -                   
Instance_185_large  6.011100            1131                0                   0                   280                 18                  -                   -                   
Instance_186_large  5.750000            1406                0                   0                   280                 18                  -                   -                   
Instance_187_large  5.891500            1122                0                   0                   280                 18                  -                   -                   
Instance_188_large  6.884300            1526                0                   0                   280                 18                  -                   -                   
Instance_189_large  6.176100            1033                0                   0                   280                 18                  -                   -                   
Instance_18_large   5.372800            1110                0                   0                   300                 18                  -                   -                   
Instance_190_large  5.863500            953                 0                   0                   280                 18                  -                   -                   
Instance_191_large  6.278400            1796                0                   0                   420                 18                  -                   -                   
Instance_192_large  7.512700            1748                0                   0                   420                 18                  -                   -                   
Instance_193_large  7.485400            2324                0                   0                   420                 18                  -                   -                   
Instance_194_large  7.034700            1665                0                   0                   420                 18                  -                   -                   
Instance_195_large  6.796900            2007                0                   0                   420                 18                  -                   -                   
Instance_196_large  7.690900            1569                0                   0                   420                 18                  -                   -                   
Instance_197_large  6.781300            1952                0                   0                   420                 18                  -                   -                   
Instance_198_large  6.571500            2243                0                   0                   420                 18                  -                   -                   
Instance_199_large  7.177300            2030                0                   0                   420                 18                  -                   -                   
Instance_19_large   5.387000            1174                0                   0                   300                 18                  -                   -                   
Instance_1_large    5.340800            876                 0                   0                   200                 18                  -                   -                   
Instance_2          0.696900            49                  0                   0                   32                  5                   -                   -                   
Instance_200_large  6.784700            2079                0                   0                   420                 18                  -                   -                   
Instance_201_large  7.108300            2578                0                   0                   560                 18                  -                   -                   
Instance_202_large  7.202700            2823                0                   0                   560                 18                  -                   -                   
Instance_203_large  7.233800            1807                0                   0                   560                 18                  -                   -                   
Instance_204_large  6.941500            2397                0                   0                   560                 18                  -                   -                   
Instance_205_large  6.836200            2393                0                   0                   560                 18                  -                   -                   
Instance_206_large  6.942900            3364                0                   0                   560                 18                  -                   -                   
Instance_207_large  7.239000            1772                0                   0                   560                 18                  -                   -                   
Instance_208_large  7.766500            2035                0                   0                   560                 18                  -                   -                   
Instance_209_large  7.019700            2075                0                   0                   560                 18                  -                   -                   
Instance_20_large   5.932400            1155                0                   0                   300                 18                  -                   -                   
Instance_210_large  6.799100            1796                0                   0                   560                 18                  -                   -                   
Instance_211_large  6.986000            1505                0                   0                   336                 18                  -                   -                   
Instance_212_large  6.845400            1557                0                   0                   336                 18                  -                   -                   
Instance_213_large  6.695500            1037                0                   0                   336                 18                  -                   -                   
Instance_214_large  6.180800            1875                0                   0                   336                 18                  -                   -                   
Instance_215_large  6.896500            1036                0                   0                   336                 18                  -                   -                   
Instance_216_large  6.307600            1054                0                   0                   336                 18                  -                   -                   
Instance_217_large  6.068000            1439                0                   0                   336                 18                  -                   -                   
Instance_218_large  6.686400            1375                0                   0                   336                 18                  -                   -                   
Instance_219_large  6.123100            1253                0                   0                   336                 18                  -                   -                   
Instance_21_large   5.711800            888                 0                   0                   400                 18                  -                   -                   
Instance_220_large  6.841400            1527                0                   0                   336                 18                  -                   -                   
Instance_221_large  7.737300            2141                0                   0                   504                 18                  -                   -                   
Instance_222_large  8.057300            2789                0                   0                   504                 18                  -                   -                   
Instance_223_large  7.975300            2032                0                   0                   504                 18                  -                   -                   
Instance_224_large  7.914700            2431                0                   0                   504                 18                  -                   -                   
Instance_225_large  7.877800            1990                0                   0                   504                 18                  -                   -                   
Instance_226_large  7.861300            1758                0                   0                   504                 18                  -                   -                   
Instance_227_large  7.418700            1660                0                   0                   504                 18                  -                   -                   
Instance_228_large  7.933900            2407                0                   0                   504                 18                  -                   -                   
Instance_229_large  8.076600            1414                0                   0                   504                 18                  -                   -                   
Instance_22_large   5.996800            1707                0                   0                   400                 18                  -                   -                   
Instance_230_large  7.984500            2485                0                   0                   504                 18                  -                   -                   
Instance_231_large  8.082800            2149                0                   0                   672                 18                  -                   -                   
Instance_232_large  8.169800            2347                0                   0                   672                 18                  -                   -                   
Instance_233_large  8.013900            2660                0                   0                   672                 18                  -                   -                   
Instance_234_large  8.129000            2628                0                   0                   672                 18                  -                   -                   
Instance_235_large  8.189200            4091                0                   0                   672                 18                  -                   -                   
Instance_236_large  8.296600            2821                0                   0                   672                 18                  -                   -                   
Instance_237_large  8.254400            3025                0                   0                   672                 18                  -                   -                   
Instance_238_large  7.839500            3186                0                   0                   672                 18                  -                   -                   
Instance_239_large  8.281700            2695                0                   0                   672                 18                  -                   -                   
Instance_23_large   5.660000            1479                0                   0                   400                 18                  -                   -                   
Instance_240_large  7.999700            2597                0                   0                   672                 18                  -                   -                   
Instance_241_large  6.994400            974                 0                   0                   392                 18                  -                   -                   
Instance_242_large  6.863000            1808                0                   0                   392                 18                  -                   -                   
Instance_243_large  7.527700            1186                0                   0                   392                 18                  -                   -                   
Instance_244_large  7.382500            1707                0                   0                   392                 18                  -                   -                   
Instance_245_large  7.448300            1139                0                   0                   392                 18                  -                   -                   
Instance_246_large  7.058700            1342                0                   0                   392                 18                  -                   -                   
Instance_247_large  6.490000            1894                0                   0                   392                 18                  -                   -                   
Instance_248_large  7.245300            1310                0                   0                   392                 18                  -                   -                   
Instance_249_large  6.553500            1616                0                   0                   392                 18                  -                   -                   
Instance_24_large   5.598100            2083                0                   0                   400                 18                  -                   -                   
Instance_250_large  7.867400            1664                0                   0                   392                 18                  -                   -                   
Instance_251_large  8.666300            2872                0                   0                   588                 18                  -                   -                   
Instance_252_large  9.337500            2411                0                   0                   588                 18                  -                   -                   
Instance_253_large  8.626500            2675                0                   0                   588                 18                  -                   -                   
Instance_254_large  8.506400            3052                0                   0                   588                 18                  -                   -                   
Instance_255_large  8.227400            2801                0                   0                   588                 18                  -                   -                   
Instance_256_large  8.664000            2904                0                   0                   588                 18                  -                   -                   
Instance_257_large  8.777900            2665                0                   0                   588                 18                  -                   -                   
Instance_258_large  8.970800            3454                0                   0                   588                 18                  -                   -                   
Instance_259_large  8.676100            2505                0                   0                   588                 18                  -                   -                   
Instance_25_large   5.836900            1557                0                   0                   400                 18                  -                   -                   
Instance_260_large  9.171800            3107                0                   0                   588                 18                  -                   -                   
Instance_261_large  9.299600            3563                0                   0                   784                 18                  -                   -                   
Instance_262_large  8.819000            3917                0                   0                   784                 18                  -                   -                   
Instance_263_large  9.018100            3343                0                   0                   784                 18                  -                   -                   
Instance_264_large  9.165400            2339                0                   0                   784                 18                  -                   -                   
Instance_265_large  9.272200            3309                0                   0                   784                 18                  -                   -                   
Instance_266_large  9.194100            3566                0                   0                   784                 18                  -                   -                   
Instance_267_large  9.266300            2671                0                   0                   784                 18                  -                   -                   
Instance_268_large  9.128100            3016                0                   0                   784                 18                  -                   -                   
Instance_269_large  9.111500            3310                0                   0                   784                 18                  -                   -                   
Instance_26_large   5.568000            1406                0                   0                   400                 18                  -                   -                   
Instance_270_large  9.199800            3004                0                   0                   784                 18                  -                   -                   
Instance_271_large  5.873300            762                 0                   0                   200                 21                  -                   -                   
Instance_272_large  6.216800            641                 0                   0                   200                 21                  -                   -                   
Instance_273_large  5.709800            770                 0                   0                   200                 21                  -                   -                   
