
Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_70_large   111068.868300       791.000000          791.000000          0.000000            280                 18                  0.666667            0.064286            
Instance_71_large   600121.785900       1388.000000         1385.000000         0.002161            420                 18                  0.750000            0.042857            
Instance_100_large  73772.449900        711.000000          711.000000          0.000000            240                 18                  0.631579            0.075000            
Instance_101_large  288282.560600       1509.000000         1509.000000         0.000000            360                 18                  0.750000            0.050000            
Instance_102_large  600099.321500       1204.000000         1177.000000         0.022425            360                 18                  0.750000            0.050000            
Instance_103_large  600164.100300       1433.000000         1427.000000         0.004187            360                 18                  0.750000            0.050000            
Instance_104_large  495475.290400       1311.000000         1311.000000         0.000000            360                 18                  0.750000            0.050000            
Instance_105_large  600135.374100       1557.000000         1552.000000         0.003211            360                 18                  0.750000            0.050000            
Instance_106_large  256049.986400       1451.000000         1451.000000         0.000000            360                 18                  0.750000            0.050000            
Instance_107_large  25063.874800        1399.000000         1399.000000         0.000000            360                 18                  0.750000            0.050000            
Instance_108_large  600091.383300       1290.000000         1279.000000         0.008527            360                 18                  0.750000            0.050000            
Instance_109_large  598497.562900       1218.000000         1207.000000         0.009031            360                 18                  0.750000            0.050000            
Instance_110_large  600433.178300       1522.000000         1508.000000         0.009198            360                 18                  0.750000            0.050000            
Instance_111_large  600297.293800       1745.000000         1735.000000         0.005731            480                 18                  1.000000            0.037500            
Instance_112_large  600100.008200       1720.000000         1698.000000         0.012791            480                 18                  1.000000            0.037500            
Instance_113_large  600120.758900       1701.000000         1678.000000         0.013521            480                 18                  1.000000            0.037500            
Instance_114_large  600204.072000       2287.000000         2256.000000         0.013555            480                 18                  1.000000            0.037500            
Instance_115_large  600384.691900       2389.000000         2381.000000         0.003349            480                 18                  1.000000            0.037500            
Instance_116_large  600242.869100       1577.000000         1527.000000         0.031706            480                 18                  1.000000            0.037500            
Instance_117_large  600358.023400       1748.000000         1717.000000         0.017735            480                 18                  1.000000            0.037500            
Instance_118_large  505569.055100       2218.000000         2218.000000         0.000000            480                 18                  1.000000            0.037500            
Instance_119_large  600287.957100       2107.000000         2086.000000         0.009967            480                 18                  1.000000            0.037500            
Instance_120_large  600250.668900       1624.000000         1620.000000         0.002463            480                 18                  1.000000            0.037500            
Instance_121_large  130076.715500       978.000000          978.000000          0.000000            288                 18                  0.631579            0.062500            
Instance_122_large  409477.245800       890.000000          890.000000          0.000000            288                 18                  0.600000            0.062500            
Instance_123_large  376040.132100       822.000000          822.000000          0.000000            288                 18                  0.666667            0.062500            
Instance_124_large  600045.053100       972.000000          965.000000          0.007202            288                 18                  0.571429            0.062500            
Instance_125_large  600315.281000       783.000000          773.000000          0.012771            288                 18                  0.705882            0.062500            
Instance_126_large  600477.229000       637.000000          624.000000          0.020408            288                 18                  0.631579            0.062500            
Instance_127_large  600541.920400       1085.000000         1084.000000         0.000922            288                 18                  0.600000            0.062500            
Instance_128_large  165784.089800       926.000000          926.000000          0.000000            288                 18                  0.600000            0.062500            
Instance_129_large  600191.473500       1068.000000         1056.000000         0.011236            288                 18                  0.500000            0.062500            
Instance_130_large  254381.739100       1082.000000         1082.000000         0.000000            288                 18                  0.705882            0.062500            
Instance_131_large  202349.649100       1334.000000         1334.000000         0.000000            432                 18                  0.750000            0.041667            
Instance_132_large  600176.924000       1088.000000         1067.000000         0.019301            432                 18                  0.750000            0.041667            
Instance_133_large  600225.991000       1647.000000         1631.000000         0.009715            432                 18                  0.750000            0.041667            
Instance_134_large  48153.298000        1531.000000         1531.000000         0.000000            432                 18                  0.750000            0.041667            
Instance_135_large  600273.022100       1439.000000         1417.000000         0.015288            432                 18                  0.750000            0.041667            
