Instance Name       Completion Time     Objective Value     Obj. Func. LB       Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_15_large   30009.537200        1138.000000         1036.000000         0.089631            300                 18                  0.750000            0.060000            
Instance_160_large  30010.792300        1049.000000         1008.000000         0.039085            336                 18                  0.705882            0.053571            
Instance_161_large  30007.492200        2393.000000         2366.000000         0.011283            504                 18                  0.750000            0.035714            
Instance_162_large  30016.038000        1588.000000         1530.000000         0.036524            504                 18                  0.750000            0.035714            
Instance_163_large  30004.332900        1686.000000         1661.000000         0.014828            504                 18                  0.750000            0.035714            
Instance_164_large  29999.225400        1896.000000         1864.000000         0.016878            504                 18                  0.750000            0.035714            
Instance_165_large  29996.813800        2003.000000         1945.000000         0.028957            504                 18                  0.750000            0.035714            
Instance_166_large  30005.669100        1886.000000         1848.000000         0.020148            504                 18                  0.750000            0.035714            
Instance_167_large  30011.203900        1796.000000         1734.000000         0.034521            504                 18                  0.750000            0.035714            
Instance_168_large  30019.492600        1719.000000         1680.000000         0.022688            504                 18                  0.750000            0.035714            
Instance_169_large  30007.315000        1715.000000         1681.000000         0.019825            504                 18                  0.750000            0.035714            
Instance_16_large   30012.996400        1198.000000         1132.000000         0.055092            300                 18                  0.750000            0.060000            
Instance_170_large  30016.876800        1872.000000         1829.000000         0.022970            504                 18                  0.750000            0.035714            
Instance_171_large  30014.718000        2642.000000         2602.000000         0.015140            672                 18                  1.000000            0.026786            
Instance_172_large  30001.162700        2509.000000         2461.000000         0.019131            672                 18                  1.000000            0.026786            
Instance_173_large  30006.399000        3195.000000         3169.000000         0.008138            672                 18                  1.000000            0.026786            
Instance_174_large  30010.464700        2745.000000         2649.000000         0.034973            672                 18                  1.000000            0.026786            
Instance_175_large  30010.649100        2445.000000         2364.000000         0.033129            672                 18                  1.000000            0.026786            
Instance_176_large  30008.629000        2542.000000         2493.000000         0.019276            672                 18                  1.000000            0.026786            
Instance_177_large  30022.698100        2088.000000         2043.000000         0.021552            672                 18                  1.000000            0.026786            
Instance_178_large  29998.314000        2112.000000         2073.000000         0.018466            672                 18                  1.000000            0.026786            
Instance_179_large  29993.802000        2520.000000         2501.000000         0.007540            672                 18                  1.000000            0.026786            
Instance_17_large   30004.102200        879.000000          819.000000          0.068259            300                 18                  0.750000            0.060000            
Instance_180_large  30011.335200        1692.000000         1645.000000         0.027778            672                 18                  1.000000            0.026786            
Instance_181_large  29997.664900        803.000000          719.000000          0.104608            280                 18                  0.608696            0.064286            
Instance_182_large  30023.653500        872.000000          813.000000          0.067661            280                 18                  0.538462            0.064286            
Instance_183_large  30003.775900        1197.000000         1159.000000         0.031746            280                 18                  0.636364            0.064286            
Instance_184_large  30003.507700        855.000000          776.000000          0.092398            280                 18                  0.700000            0.064286            
Instance_185_large  30001.335000        842.000000          776.000000          0.078385            280                 18                  0.700000            0.064286            
Instance_186_large  30005.292200        1153.000000         1116.000000         0.032090            280                 18                  0.736842            0.064286            
Instance_187_large  30004.356800        979.000000          950.000000          0.029622            280                 18                  0.736842            0.064286            
Instance_188_large  29989.820300        1096.000000         915.000000          0.165146            280                 18                  0.666667            0.064286            
Instance_189_large  30003.537700        900.000000          777.000000          0.136667            280                 18                  0.636364            0.064286            
Instance_18_large   30009.747300        893.000000          859.000000          0.038074            300                 18                  0.750000            0.060000            
Instance_190_large  30004.825500        886.000000          806.000000          0.090293            280                 18                  0.700000            0.064286            
Instance_191_large  30004.923500        1650.000000         1602.000000         0.029091            420                 18                  0.750000            0.042857            
Instance_192_large  30002.889400        1724.000000         1704.000000         0.011601            420                 18                  0.750000            0.042857            
Instance_193_large  30004.728100        1872.000000         1824.000000         0.025641            420                 18                  0.750000            0.042857            
Instance_194_large  30004.039500        1580.000000         1462.000000         0.074684            420                 18                  0.750000            0.042857            
Instance_195_large  30001.213600        1718.000000         1674.000000         0.025611            420                 18                  0.750000            0.042857            
Instance_196_large  30002.321000        1490.000000         1443.000000         0.031544            420                 18                  0.777778            0.042857            
Instance_197_large  30014.775000        1682.000000         1617.000000         0.038644            420                 18                  0.750000            0.042857            
Instance_198_large  30005.531900        2091.000000         2046.000000         0.021521            420                 18                  0.750000            0.042857            
Instance_199_large  30015.237300        1691.000000         1598.000000         0.054997            420                 18                  0.750000            0.042857            
Instance_19_large   30000.911100        1129.000000         1101.000000         0.024801            300                 18                  0.750000            0.060000            
Instance_1_large    30000.608300        640.000000          596.000000          0.068750            200                 18                  0.555556            0.090000            
Instance_200_large  30004.154800        1538.000000         1456.000000         0.053316            420                 18                  0.750000            0.042857            
Instance_201_large  30004.177600        2512.000000         2467.000000         0.017914            560                 18                  1.000000            0.032143            
Instance_202_large  30018.460700        2584.000000         2456.000000         0.049536            560                 18                  1.000000            0.032143            
Instance_203_large  29993.289300        1775.000000         1726.000000         0.027606            560                 18                  1.000000            0.032143            
Instance_204_large  30006.460100        2314.000000         2271.000000         0.018583            560                 18                  1.000000            0.032143            
Instance_205_large  30012.009100        2175.000000         2143.000000         0.014713            560                 18                  1.000000            0.032143            
Instance_206_large  30010.558000        3118.000000         3074.000000         0.014112            560                 18                  1.000000            0.032143            
Instance_207_large  30004.478200        1727.000000         1610.000000         0.067748            560                 18                  1.000000            0.032143            
Instance_208_large  30005.166500        1976.000000         1894.000000         0.041498            560                 18                  1.000000            0.032143            
Instance_209_large  29993.448800        1845.000000         1801.000000         0.023848            560                 18                  1.000000            0.032143            
Instance_20_large   30007.900300        861.000000          813.000000          0.055749            300                 18                  0.750000            0.060000            
Instance_210_large  30017.970200        1719.999990         1647.000000         0.042442            560                 18                  1.000000            0.032143            
Instance_211_large  29992.420700        1288.000000         1266.000000         0.017081            336                 18                  0.608696            0.053571            
Instance_212_large  30011.072100        1250.000000         1001.000000         0.199200            336                 18                  0.636364            0.053571            
Instance_213_large  30003.461200        937.000000          896.000000          0.043757            336                 18                  0.700000            0.053571            
Instance_214_large  30008.943700        1429.000000         1377.000000         0.036389            336                 18                  0.700000            0.053571            
Instance_215_large  30003.183100        982.000000          963.000000          0.019348            336                 18                  0.636364            0.053571            
Instance_216_large  30003.581200        970.000000          891.000000          0.081443            336                 18                  0.538462            0.053571            
Instance_217_large  30012.702200        1251.000000         1198.000000         0.042366            336                 18                  0.636364            0.053571            
Instance_218_large  30002.723800        1134.000000         1065.000000         0.060847            336                 18                  0.666667            0.053571            
Instance_219_large  30009.609100        1093.000000         1044.000000         0.044831            336                 18                  0.700000            0.053571            
Instance_21_large   30004.741500        774.000000          685.000000          0.114987            400                 18                  1.000000            0.045000            
Instance_220_large  30006.028500        1363.000000         1297.000000         0.048423            336                 18                  0.538462            0.053571            
Instance_221_large  30014.539400        1818.000000         1780.000000         0.020902            504                 18                  0.750000            0.035714            
Instance_222_large  30003.943000        2105.000000         2056.000000         0.023278            504                 18                  0.750000            0.035714            
Instance_223_large  29999.683800        1927.000000         1882.000000         0.023352            504                 18                  0.750000            0.035714            
Instance_224_large  30004.507400        1888.000000         1832.000000         0.029661            504                 18                  0.750000            0.035714            
Instance_225_large  30028.001800        1760.000000         1696.000000         0.036364            504                 18                  0.750000            0.035714            
Instance_226_large  29998.726100        1516.000000         1458.000000         0.038259            504                 18                  0.750000            0.035714            
Instance_227_large  30016.058300        1610.000000         1583.000000         0.016770            504                 18                  0.750000            0.035714            
Instance_228_large  30017.487700        2063.000000         1977.000000         0.041687            504                 18                  0.750000            0.035714            
