Instance Name       Completion Time     Objective Value     Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_513        1.654100            213                 0                   128                 10                  -                   -                   
Instance_514        1.688600            259                 0                   128                 10                  -                   -                   
Instance_515        1.756400            211                 0                   128                 10                  -                   -                   
Instance_516        1.858600            250                 0                   128                 10                  -                   -                   
Instance_517        1.627000            181                 0                   128                 10                  -                   -                   
Instance_518        1.798300            250                 0                   128                 10                  -                   -                   
Instance_519        1.795900            389                 0                   128                 10                  -                   -                   
Instance_52         0.829700            162                 0                   96                  5                   -                   -                   
Instance_520        2.323400            333                 0                   128                 10                  -                   -                   
Instance_521        2.151100            316                 0                   192                 10                  -                   -                   
Instance_522        1.966700            530                 0                   192                 10                  -                   -                   
Instance_523        1.974700            485                 0                   192                 10                  -                   -                   
Instance_524        1.952900            487                 0                   192                 10                  -                   -                   
Instance_525        3.256800            538                 0                   192                 10                  -                   -                   
Instance_526        1.953300            441                 0                   192                 10                  -                   -                   
Instance_527        1.942600            563                 0                   192                 10                  -                   -                   
Instance_528        2.189400            319                 0                   192                 10                  -                   -                   
Instance_529        2.109000            625                 0                   192                 10                  -                   -                   
Instance_53         0.817800            113                 0                   96                  5                   -                   -                   
Instance_530        2.172300            289                 0                   192                 10                  -                   -                   
Instance_531        2.191200            953                 0                   256                 10                  -                   -                   
Instance_532        2.069700            705                 0                   256                 10                  -                   -                   
Instance_533        2.102100            564                 0                   256                 10                  -                   -                   
Instance_534        2.089300            716                 0                   256                 10                  -                   -                   
Instance_535        2.065900            364                 0                   256                 10                  -                   -                   
Instance_536        2.174200            630                 0                   256                 10                  -                   -                   
Instance_537        2.319800            703                 0                   256                 10                  -                   -                   
Instance_538        2.059800            449                 0                   256                 10                  -                   -                   
Instance_539        2.206700            432                 0                   256                 10                  -                   -                   
Instance_54         0.837500            120                 0                   96                  5                   -                   -                   
Instance_540        2.087900            536                 0                   256                 10                  -                   -                   
Instance_541        2.317700            143                 0                   32                  15                  -                   -                   
Instance_542        2.241600            88                  0                   32                  15                  -                   -                   
Instance_543        3.482100            53                  0                   32                  15                  -                   -                   
Instance_544        3.037900            75                  0                   32                  15                  -                   -                   
Instance_545        2.373500            59                  0                   32                  15                  -                   -                   
Instance_546        2.923100            98                  0                   32                  15                  -                   -                   
Instance_547        2.608900            118                 0                   32                  15                  -                   -                   
Instance_548        2.751200            68                  0                   32                  15                  -                   -                   
Instance_549        2.680800            53                  0                   32                  15                  -                   -                   
Instance_55         0.838300            160                 0                   96                  5                   -                   -                   
Instance_550        2.062200            60                  0                   32                  15                  -                   -                   
Instance_551        1.579200            97                  0                   48                  15                  -                   -                   
Instance_552        1.727100            177                 0                   48                  15                  -                   -                   
Instance_553        1.792700            146                 0                   48                  15                  -                   -                   
Instance_554        1.579300            91                  0                   48                  15                  -                   -                   
Instance_555        1.628200            72                  0                   48                  15                  -                   -                   
Instance_556        1.614700            113                 0                   48                  15                  -                   -                   
Instance_557        1.946300            180                 0                   48                  15                  -                   -                   
Instance_558        2.056700            156                 0                   48                  15                  -                   -                   
Instance_559        2.261500            149                 0                   48                  15                  -                   -                   
Instance_56         0.861700            91                  0                   96                  5                   -                   -                   
Instance_560        1.898200            156                 0                   48                  15                  -                   -                   
Instance_561        1.967300            218                 0                   64                  15                  -                   -                   
Instance_562        2.696900            184                 0                   64                  15                  -                   -                   
Instance_563        1.770800            243                 0                   64                  15                  -                   -                   
Instance_564        1.719600            136                 0                   64                  15                  -                   -                   
Instance_565        1.497300            185                 0                   64                  15                  -                   -                   
Instance_566        1.812800            195                 0                   64                  15                  -                   -                   
Instance_567        1.686400            123                 0                   64                  15                  -                   -                   
Instance_568        2.076700            182                 0                   64                  15                  -                   -                   
Instance_569        1.655700            172                 0                   64                  15                  -                   -                   
Instance_57         0.817200            143                 0                   96                  5                   -                   -                   
Instance_570        1.958600            209                 0                   64                  15                  -                   -                   
Instance_571        2.480100            158                 0                   48                  15                  -                   -                   
Instance_572        2.067500            108                 0                   48                  15                  -                   -                   
Instance_573        2.883900            136                 0                   48                  15                  -                   -                   
Instance_574        2.567400            104                 0                   48                  15                  -                   -                   
Instance_575        2.518800            140                 0                   48                  15                  -                   -                   
Instance_576        3.202300            134                 0                   48                  15                  -                   -                   
Instance_577        2.004000            92                  0                   48                  15                  -                   -                   
Instance_578        2.012600            133                 0                   48                  15                  -                   -                   
Instance_579        2.349800            127                 0                   48                  15                  -                   -                   
Instance_58         0.818300            156                 0                   96                  5                   -                   -                   
Instance_580        2.106200            163                 0                   48                  15                  -                   -                   
Instance_581        2.113300            182                 0                   72                  15                  -                   -                   
Instance_582        1.824900            182                 0                   72                  15                  -                   -                   
Instance_583        2.022400            285                 0                   72                  15                  -                   -                   
Instance_584        1.937600            101                 0                   72                  15                  -                   -                   
Instance_585        2.046400            238                 0                   72                  15                  -                   -                   
Instance_586        1.957600            127                 0                   72                  15                  -                   -                   
Instance_587        1.972500            223                 0                   72                  15                  -                   -                   
Instance_588        1.893800            205                 0                   72                  15                  -                   -                   
Instance_589        2.082900            231                 0                   72                  15                  -                   -                   
Instance_59         0.801700            145                 0                   96                  5                   -                   -                   
Instance_590        2.464700            205                 0                   72                  15                  -                   -                   
Instance_591        2.573700            320                 0                   96                  15                  -                   -                   
Instance_592        2.859200            254                 0                   96                  15                  -                   -                   
Instance_593        2.664800            214                 0                   96                  15                  -                   -                   
Instance_594        1.871300            229                 0                   96                  15                  -                   -                   
Instance_595        1.851400            338                 0                   96                  15                  -                   -                   
Instance_596        1.910700            243                 0                   96                  15                  -                   -                   
Instance_597        1.898600            221                 0                   96                  15                  -                   -                   
Instance_598        1.677600            197                 0                   96                  15                  -                   -                   
Instance_599        1.875000            284                 0                   96                  15                  -                   -                   
Instance_6          0.494200            38                  0                   32                  5                   -                   -                   
Instance_60         0.832500            136                 0                   96                  5                   -                   -                   
Instance_600        1.976900            291                 0                   96                  15                  -                   -                   
Instance_601        3.624500            184                 0                   64                  15                  -                   -                   
Instance_602        3.048800            118                 0                   64                  15                  -                   -                   
Instance_603        3.058600            82                  0                   64                  15                  -                   -                   
Instance_604        1.935500            105                 0                   64                  15                  -                   -                   
Instance_605        2.832400            125                 0                   64                  15                  -                   -                   
Instance_606        2.582300            209                 0                   64                  15                  -                   -                   
Instance_607        2.098100            105                 0                   64                  15                  -                   -                   
Instance_608        2.148400            216                 0                   64                  15                  -                   -                   
Instance_609        2.484800            146                 0                   64                  15                  -                   -                   
Instance_61         0.766000            108                 0                   64                  5                   -                   -                   
Instance_610        2.256900            96                  0                   64                  15                  -                   -                   
Instance_611        2.373900            362                 0                   96                  15                  -                   -                   
Instance_612        1.926300            250                 0                   96                  15                  -                   -                   
Instance_613        2.069700            308                 0                   96                  15                  -                   -                   
Instance_614        6.500800            250                 0                   96                  15                  -                   -                   
Instance_615        6.628000            239                 0                   96                  15                  -                   -                   
Instance_616        2.220000            310                 0                   96                  15                  -                   -                   
Instance_617        2.221200            212                 0                   96                  15                  -                   -                   
Instance_618        2.168600            234                 0                   96                  15                  -                   -                   
Instance_619        2.215700            231                 0                   96                  15                  -                   -                   
Instance_62         0.925300            70                  0                   64                  5                   -                   -                   
Instance_620        1.977400            249                 0                   96                  15                  -                   -                   
Instance_621        1.992100            344                 0                   128                 15                  -                   -                   
Instance_622        2.081600            267                 0                   128                 15                  -                   -                   
Instance_623        2.047800            450                 0                   128                 15                  -                   -                   
Instance_624        2.177800            355                 0                   128                 15                  -                   -                   
Instance_625        1.956700            362                 0                   128                 15                  -                   -                   
Instance_626        2.053200            349                 0                   128                 15                  -                   -                   
Instance_627        2.425300            383                 0                   128                 15                  -                   -                   
Instance_628        2.917900            385                 0                   128                 15                  -                   -                   
Instance_629        2.030700            548                 0                   128                 15                  -                   -                   
Instance_63         0.813000            65                  0                   64                  5                   -                   -                   
Instance_630        6.211900            458                 0                   128                 15                  -                   -                   
Instance_631        1.943900            164                 0                   48                  15                  -                   -                   
Instance_632        2.371200            151                 0                   48                  15                  -                   -                   
Instance_633        2.945500            105                 0                   48                  15                  -                   -                   
Instance_634        3.366500            114                 0                   48                  15                  -                   -                   
Instance_635        1.911800            99                  0                   48                  15                  -                   -                   
Instance_636        2.819400            139                 0                   48                  15                  -                   -                   
Instance_637        2.811400            119                 0                   48                  15                  -                   -                   
Instance_638        2.174800            127                 0                   48                  15                  -                   -                   
Instance_639        1.977200            132                 0                   48                  15                  -                   -                   
Instance_64         0.840200            28                  0                   64                  5                   -                   -                   
Instance_640        2.483000            154                 0                   48                  15                  -                   -                   
Instance_641        2.150100            287                 0                   72                  15                  -                   -                   
Instance_642        2.075300            160                 0                   72                  15                  -                   -                   
Instance_643        2.074900            230                 0                   72                  15                  -                   -                   
Instance_644        1.998300            277                 0                   72                  15                  -                   -                   
Instance_645        1.974100            235                 0                   72                  15                  -                   -                   
Instance_646        1.771700            174                 0                   72                  15                  -                   -                   
Instance_647        2.292000            180                 0                   72                  15                  -                   -                   
Instance_648        2.309500            128                 0                   72                  15                  -                   -                   
Instance_649        2.063400            142                 0                   72                  15                  -                   -                   
Instance_65         0.847200            71                  0                   64                  5                   -                   -                   
Instance_650        2.793600            236                 0                   72                  15                  -                   -                   
Instance_651        1.733000            316                 0                   96                  15                  -                   -                   
Instance_652        1.723800            254                 0                   96                  15                  -                   -                   
Instance_653        1.756400            264                 0                   96                  15                  -                   -                   
Instance_654        1.721300            361                 0                   96                  15                  -                   -                   
Instance_655        1.522000            329                 0                   96                  15                  -                   -                   
Instance_656        1.594700            302                 0                   96                  15                  -                   -                   
Instance_657        1.653200            328                 0                   96                  15                  -                   -                   
Instance_658        1.756200            289                 0                   96                  15                  -                   -                   
Instance_659        1.699200            303                 0                   96                  15                  -                   -                   
Instance_66         0.906800            51                  0                   64                  5                   -                   -                   
Instance_660        1.728200            356                 0                   96                  15                  -                   -                   
Instance_661        2.538800            189                 0                   72                  15                  -                   -                   
Instance_662        2.567100            340                 0                   72                  15                  -                   -                   
Instance_663        1.998800            145                 0                   72                  15                  -                   -                   
Instance_664        2.318300            242                 0                   72                  15                  -                   -                   
Instance_665        1.886500            243                 0                   72                  15                  -                   -                   
Instance_666        2.031400            255                 0                   72                  15                  -                   -                   
Instance_667        2.158100            232                 0                   72                  15                  -                   -                   
Instance_668        2.292700            176                 0                   72                  15                  -                   -                   
Instance_669        2.333300            153                 0                   72                  15                  -                   -                   
Instance_67         0.832200            59                  0                   64                  5                   -                   -                   
Instance_670        2.949200            355                 0                   72                  15                  -                   -                   
Instance_671        2.171400            298                 0                   108                 15                  -                   -                   
Instance_672        2.289100            264                 0                   108                 15                  -                   -                   
Instance_673        2.058400            437                 0                   108                 15                  -                   -                   
Instance_674        2.469500            638                 0                   108                 15                  -                   -                   
Instance_675        3.057000            284                 0                   108                 15                  -                   -                   
Instance_676        1.969500            312                 0                   108                 15                  -                   -                   
Instance_677        1.982800            408                 0                   108                 15                  -                   -                   
Instance_678        2.333300            231                 0                   108                 15                  -                   -                   
Instance_679        2.757000            286                 0                   108                 15                  -                   -                   
Instance_68         0.852900            112                 0                   64                  5                   -                   -                   
Instance_680        2.272200            479                 0                   108                 15                  -                   -                   
Instance_681        2.931200            433                 0                   144                 15                  -                   -                   
Instance_682        2.711900            454                 0                   144                 15                  -                   -                   
Instance_683        2.137600            404                 0                   144                 15                  -                   -                   
Instance_684        2.139100            346                 0                   144                 15                  -                   -                   
Instance_685        2.091200            586                 0                   144                 15                  -                   -                   
Instance_686        1.973400            661                 0                   144                 15                  -                   -                   
Instance_687        2.066600            328                 0                   144                 15                  -                   -                   
Instance_688        2.039000            416                 0                   144                 15                  -                   -                   
Instance_689        2.105200            462                 0                   144                 15                  -                   -                   
Instance_69         0.939500            47                  0                   64                  5                   -                   -                   
Instance_690        2.162000            348                 0                   144                 15                  -                   -                   
Instance_691        2.315800            406                 0                   96                  15                  -                   -                   
Instance_692        4.009000            223                 0                   96                  15                  -                   -                   
Instance_693        2.170300            237                 0                   96                  15                  -                   -                   
Instance_694        2.912700            203                 0                   96                  15                  -                   -                   
Instance_695        2.355000            351                 0                   96                  15                  -                   -                   
Instance_696        2.567200            137                 0                   96                  15                  -                   -                   
Instance_697        2.318600            434                 0                   96                  15                  -                   -                   
Instance_698        2.539000            282                 0                   96                  15                  -                   -                   
Instance_699        2.007700            135                 0                   96                  15                  -                   -                   
Instance_7          0.466300            64                  0                   32                  5                   -                   -                   
Instance_70         0.817500            63                  0                   64                  5                   -                   -                   
Instance_700        2.564000            290                 0                   96                  15                  -                   -                   
Instance_701        2.374500            430                 0                   144                 15                  -                   -                   
Instance_702        2.482000            562                 0                   144                 15                  -                   -                   
Instance_703        2.274400            446                 0                   144                 15                  -                   -                   
Instance_704        2.448300            494                 0                   144                 15                  -                   -                   
Instance_705        2.446700            502                 0                   144                 15                  -                   -                   
Instance_706        2.537200            517                 0                   144                 15                  -                   -                   
Instance_707        2.432600            522                 0                   144                 15                  -                   -                   
Instance_708        3.455600            308                 0                   144                 15                  -                   -                   
Instance_709        2.460300            504                 0                   144                 15                  -                   -                   
Instance_71         0.976300            133                 0                   96                  5                   -                   -                   
Instance_710        3.427800            479                 0                   144                 15                  -                   -                   
Instance_711        2.450400            547                 0                   192                 15                  -                   -                   
Instance_712        2.292200            713                 0                   192                 15                  -                   -                   
Instance_713        2.359800            798                 0                   192                 15                  -                   -                   
Instance_714        2.166600            499                 0                   192                 15                  -                   -                   
Instance_715        2.236200            691                 0                   192                 15                  -                   -                   
Instance_716        2.128700            641                 0                   192                 15                  -                   -                   
Instance_717        2.302700            466                 0                   192                 15                  -                   -                   
Instance_718        2.913100            877                 0                   192                 15                  -                   -                   
Instance_719        2.439800            304                 0                   192                 15                  -                   -                   
Instance_72         1.581700            145                 0                   96                  5                   -                   -                   
Instance_720        3.608100            486                 0                   192                 15                  -                   -                   
Instance_721        1.669300            150                 0                   64                  15                  -                   -                   
Instance_722        2.861300            221                 0                   64                  15                  -                   -                   
Instance_723        1.863600            146                 0                   64                  15                  -                   -                   
Instance_724        2.020100            203                 0                   64                  15                  -                   -                   
Instance_725        2.061900            164                 0                   64                  15                  -                   -                   
Instance_726        1.945700            211                 0                   64                  15                  -                   -                   
Instance_727        2.213100            288                 0                   64                  15                  -                   -                   
Instance_728        1.787800            192                 0                   64                  15                  -                   -                   
Instance_729        1.825700            194                 0                   64                  15                  -                   -                   
Instance_73         0.941000            141                 0                   96                  5                   -                   -                   
Instance_730        2.324800            114                 0                   64                  15                  -                   -                   
Instance_731        1.803900            368                 0                   96                  15                  -                   -                   
Instance_732        1.839600            298                 0                   96                  15                  -                   -                   
Instance_733        1.856500            294                 0                   96                  15                  -                   -                   
Instance_734        1.880200            330                 0                   96                  15                  -                   -                   
Instance_735        1.940000            404                 0                   96                  15                  -                   -                   
Instance_736        2.058900            423                 0                   96                  15                  -                   -                   
Instance_737        1.851800            320                 0                   96                  15                  -                   -                   
Instance_738        1.966500            194                 0                   96                  15                  -                   -                   
Instance_739        1.990500            454                 0                   96                  15                  -                   -                   
Instance_74         0.927100            194                 0                   96                  5                   -                   -                   
Instance_740        1.951800            332                 0                   96                  15                  -                   -                   
Instance_741        1.789300            421                 0                   128                 15                  -                   -                   
Instance_742        1.799500            547                 0                   128                 15                  -                   -                   
Instance_743        1.872900            462                 0                   128                 15                  -                   -                   
Instance_744        1.991300            473                 0                   128                 15                  -                   -                   
Instance_745        1.903200            470                 0                   128                 15                  -                   -                   
Instance_746        1.924400            455                 0                   128                 15                  -                   -                   
Instance_747        1.776600            375                 0                   128                 15                  -                   -                   
Instance_748        2.273000            491                 0                   128                 15                  -                   -                   
Instance_749        2.169200            329                 0                   128                 15                  -                   -                   
Instance_75         0.930400            120                 0                   96                  5                   -                   -                   
Instance_750        1.980800            677                 0                   128                 15                  -                   -                   
Instance_751        2.370900            288                 0                   96                  15                  -                   -                   
Instance_752        3.035300            245                 0                   96                  15                  -                   -                   
Instance_753        2.146400            293                 0                   96                  15                  -                   -                   
Instance_754        2.352500            165                 0                   96                  15                  -                   -                   
Instance_755        2.293300            220                 0                   96                  15                  -                   -                   
Instance_756        6.491900            178                 0                   96                  15                  -                   -                   
Instance_757        2.088600            406                 0                   96                  15                  -                   -                   
Instance_758        2.062000            398                 0                   96                  15                  -                   -                   
Instance_759        2.840100            177                 0                   96                  15                  -                   -                   
Instance_76         2.537600            137                 0                   96                  5                   -                   -                   
Instance_760        2.048700            263                 0                   96                  15                  -                   -                   
Instance_761        2.629600            371                 0                   144                 15                  -                   -                   
Instance_762        2.494200            404                 0                   144                 15                  -                   -                   
Instance_763        2.405600            557                 0                   144                 15                  -                   -                   
Instance_764        3.740600            541                 0                   144                 15                  -                   -                   
Instance_765        2.358000            454                 0                   144                 15                  -                   -                   
Instance_766        2.239300            429                 0                   144                 15                  -                   -                   
Instance_767        3.916100            403                 0                   144                 15                  -                   -                   
Instance_768        2.482400            534                 0                   144                 15                  -                   -                   
Instance_769        2.320300            447                 0                   144                 15                  -                   -                   
Instance_77         1.007300            141                 0                   96                  5                   -                   -                   
Instance_770        2.416400            500                 0                   144                 15                  -                   -                   
Instance_771        10.835800           620                 0                   192                 15                  -                   -                   
Instance_772        2.365700            621                 0                   192                 15                  -                   -                   
Instance_773        2.211500            1048                0                   192                 15                  -                   -                   
Instance_774        2.348800            512                 0                   192                 15                  -                   -                   
Instance_775        2.350600            775                 0                   192                 15                  -                   -                   
Instance_776        2.729300            677                 0                   192                 15                  -                   -                   
Instance_777        2.412100            686                 0                   192                 15                  -                   -                   
Instance_778        2.205800            501                 0                   192                 15                  -                   -                   
Instance_779        2.720300            479                 0                   192                 15                  -                   -                   
Instance_78         1.048600            80                  0                   96                  5                   -                   -                   
Instance_780        2.362000            750                 0                   192                 15                  -                   -                   
Instance_781        2.427000            286                 0                   128                 15                  -                   -                   
Instance_782        2.599600            235                 0                   128                 15                  -                   -                   
Instance_783        2.344700            332                 0                   128                 15                  -                   -                   
Instance_784        2.571300            331                 0                   128                 15                  -                   -                   
Instance_785        2.675400            314                 0                   128                 15                  -                   -                   
Instance_786        2.947400            424                 0                   128                 15                  -                   -                   
Instance_787        2.254200            258                 0                   128                 15                  -                   -                   
Instance_788        2.369400            460                 0                   128                 15                  -                   -                   
Instance_789        2.446900            375                 0                   128                 15                  -                   -                   
Instance_79         0.974400            100                 0                   96                  5                   -                   -                   
Instance_790        2.402100            235                 0                   128                 15                  -                   -                   
Instance_791        2.764200            548                 0                   192                 15                  -                   -                   
Instance_792        2.650900            407                 0                   192                 15                  -                   -                   
Instance_793        2.746600            810                 0                   192                 15                  -                   -                   
Instance_794        2.848700            568                 0                   192                 15                  -                   -                   
Instance_795        2.720500            601                 0                   192                 15                  -                   -                   
Instance_796        2.951600            610                 0                   192                 15                  -                   -                   
Instance_797        2.558000            545                 0                   192                 15                  -                   -                   
Instance_798        2.485000            541                 0                   192                 15                  -                   -                   
Instance_799        3.538700            423                 0                   192                 15                  -                   -                   
Instance_8          0.466200            41                  0                   32                  5                   -                   -                   
Instance_80         0.983400            108                 0                   96                  5                   -                   -                   
Instance_800        2.485200            406                 0                   192                 15                  -                   -                   
Instance_801        2.581200            529                 0                   256                 15                  -                   -                   
Instance_802        3.285900            886                 0                   256                 15                  -                   -                   
Instance_803        2.658000            887                 0                   256                 15                  -                   -                   
Instance_804        2.665900            507                 0                   256                 15                  -                   -                   
Instance_805        3.261600            742                 0                   256                 15                  -                   -                   
Instance_806        2.540200            851                 0                   256                 15                  -                   -                   
Instance_807        2.681600            1104                0                   256                 15                  -                   -                   
Instance_808        3.583000            1265                0                   256                 15                  -                   -                   
Instance_809        2.762500            870                 0                   256                 15                  -                   -                   
Instance_81         1.075900            95                  0                   128                 5                   -                   -                   
Instance_810        2.715500            915                 0                   256                 15                  -                   -                   
Instance_82         1.078000            144                 0                   128                 5                   -                   -                   
Instance_83         1.882500            146                 0                   128                 5                   -                   -                   
Instance_84         1.022000            199                 0                   128                 5                   -                   -                   
Instance_85         0.993600            231                 0                   128                 5                   -                   -                   
Instance_86         1.005000            194                 0                   128                 5                   -                   -                   
Instance_87         1.011000            148                 0                   128                 5                   -                   -                   
Instance_88         1.047400            233                 0                   128                 5                   -                   -                   
Instance_89         1.737600            164                 0                   128                 5                   -                   -                   
Instance_9          0.572500            41                  0                   32                  5                   -                   -                   
Instance_90         1.028000            215                 0                   128                 5                   -                   -                   
Instance_91         0.649700            53                  0                   48                  5                   -                   -                   
Instance_92         0.657000            87                  0                   48                  5                   -                   -                   
Instance_93         0.639700            89                  0                   48                  5                   -                   -                   
Instance_94         0.865500            75                  0                   48                  5                   -                   -                   
Instance_95         0.808000            39                  0                   48                  5                   -                   -                   
Instance_96         0.588500            107                 0                   48                  5                   -                   -                   
Instance_97         0.618200            60                  0                   48                  5                   -                   -                   
Instance_98         0.625500            37                  0                   48                  5                   -                   -                   
Instance_99         0.601100            78                  0                   48                  5                   -                   -                   
