Instance Name       Completion Time     Objective Value     Gap                 Nb. of ULs          Nb. of Desired ULs  Grid Occupancy      UL Occupancy        
Instance_193        1.251900            181                 0                   96                  5                   -                   -                   
Instance_194        0.837700            124                 0                   96                  5                   -                   -                   
Instance_195        0.977200            94                  0                   96                  5                   -                   -                   
Instance_196        3.351800            34                  0                   96                  5                   -                   -                   
Instance_197        0.908000            200                 0                   96                  5                   -                   -                   
Instance_198        0.950400            69                  0                   96                  5                   -                   -                   
Instance_199        0.944700            54                  0                   96                  5                   -                   -                   
Instance_2          0.462300            49                  0                   32                  5                   -                   -                   
Instance_20         0.548400            46                  0                   48                  5                   -                   -                   
Instance_200        0.993700            128                 0                   96                  5                   -                   -                   
Instance_201        1.127000            268                 0                   128                 5                   -                   -                   
Instance_202        1.033600            156                 0                   128                 5                   -                   -                   
Instance_203        1.040300            218                 0                   128                 5                   -                   -                   
Instance_204        1.025800            151                 0                   128                 5                   -                   -                   
Instance_205        0.992000            298                 0                   128                 5                   -                   -                   
Instance_206        1.000600            170                 0                   128                 5                   -                   -                   
Instance_207        1.090000            122                 0                   128                 5                   -                   -                   
Instance_208        1.041100            179                 0                   128                 5                   -                   -                   
Instance_209        1.099700            163                 0                   128                 5                   -                   -                   
Instance_21         0.620200            101                 0                   64                  5                   -                   -                   
Instance_210        1.015000            98                  0                   128                 5                   -                   -                   
Instance_211        0.950200            147                 0                   96                  5                   -                   -                   
Instance_212        0.998700            159                 0                   96                  5                   -                   -                   
Instance_213        0.941200            112                 0                   96                  5                   -                   -                   
Instance_214        1.020900            200                 0                   96                  5                   -                   -                   
Instance_215        0.940400            149                 0                   96                  5                   -                   -                   
Instance_216        0.970300            79                  0                   96                  5                   -                   -                   
Instance_217        0.872700            210                 0                   96                  5                   -                   -                   
Instance_218        1.033400            88                  0                   96                  5                   -                   -                   
Instance_219        0.904500            145                 0                   96                  5                   -                   -                   
Instance_22         0.606500            50                  0                   64                  5                   -                   -                   
Instance_220        0.977300            154                 0                   96                  5                   -                   -                   
Instance_221        1.223700            219                 0                   144                 5                   -                   -                   
Instance_222        1.327000            158                 0                   144                 5                   -                   -                   
Instance_223        1.398500            224                 0                   144                 5                   -                   -                   
Instance_224        1.257900            205                 0                   144                 5                   -                   -                   
Instance_225        1.297200            129                 0                   144                 5                   -                   -                   
Instance_226        1.235800            192                 0                   144                 5                   -                   -                   
Instance_227        1.258400            330                 0                   144                 5                   -                   -                   
Instance_228        1.254300            325                 0                   144                 5                   -                   -                   
Instance_229        1.286100            238                 0                   144                 5                   -                   -                   
Instance_23         0.640700            85                  0                   64                  5                   -                   -                   
Instance_230        1.323100            208                 0                   144                 5                   -                   -                   
Instance_231        1.396400            224                 0                   192                 5                   -                   -                   
Instance_232        1.386200            185                 0                   192                 5                   -                   -                   
Instance_233        1.397800            174                 0                   192                 5                   -                   -                   
Instance_234        1.391100            340                 0                   192                 5                   -                   -                   
Instance_235        1.418400            107                 0                   192                 5                   -                   -                   
Instance_236        1.409800            166                 0                   192                 5                   -                   -                   
Instance_237        1.525100            232                 0                   192                 5                   -                   -                   
Instance_238        1.422200            320                 0                   192                 5                   -                   -                   
Instance_239        1.437900            351                 0                   192                 5                   -                   -                   
Instance_24         1.296800            47                  0                   64                  5                   -                   -                   
Instance_240        2.142900            229                 0                   192                 5                   -                   -                   
Instance_241        1.434600            298                 0                   128                 5                   -                   -                   
Instance_242        1.259900            243                 0                   128                 5                   -                   -                   
Instance_243        1.228800            243                 0                   128                 5                   -                   -                   
Instance_244        1.132900            285                 0                   128                 5                   -                   -                   
Instance_245        1.269700            168                 0                   128                 5                   -                   -                   
Instance_246        1.306900            108                 0                   128                 5                   -                   -                   
Instance_247        2.099500            155                 0                   128                 5                   -                   -                   
Instance_248        1.919400            158                 0                   128                 5                   -                   -                   
Instance_249        1.269000            170                 0                   128                 5                   -                   -                   
Instance_25         0.621800            52                  0                   64                  5                   -                   -                   
Instance_250        1.200400            154                 0                   128                 5                   -                   -                   
Instance_251        2.288000            96                  0                   192                 5                   -                   -                   
Instance_252        1.630000            334                 0                   192                 5                   -                   -                   
Instance_253        1.789000            387                 0                   192                 5                   -                   -                   
Instance_254        1.913500            153                 0                   192                 5                   -                   -                   
Instance_255        1.710900            193                 0                   192                 5                   -                   -                   
Instance_256        1.704200            251                 0                   192                 5                   -                   -                   
Instance_257        3.069700            354                 0                   192                 5                   -                   -                   
Instance_258        1.664600            447                 0                   192                 5                   -                   -                   
Instance_259        1.664700            461                 0                   192                 5                   -                   -                   
Instance_26         0.626800            39                  0                   64                  5                   -                   -                   
Instance_260        1.675100            279                 0                   192                 5                   -                   -                   
Instance_261        1.769500            340                 0                   256                 5                   -                   -                   
Instance_262        1.739500            413                 0                   256                 5                   -                   -                   
Instance_263        1.842300            180                 0                   256                 5                   -                   -                   
Instance_264        1.797800            462                 0                   256                 5                   -                   -                   
Instance_265        1.830000            164                 0                   256                 5                   -                   -                   
Instance_266        1.816600            249                 0                   256                 5                   -                   -                   
Instance_267        1.793600            253                 0                   256                 5                   -                   -                   
Instance_268        1.775200            331                 0                   256                 5                   -                   -                   
Instance_269        1.811500            232                 0                   256                 5                   -                   -                   
Instance_27         0.636100            72                  0                   64                  5                   -                   -                   
Instance_270        1.774400            222                 0                   256                 5                   -                   -                   
Instance_271        1.024900            60                  0                   32                  10                  -                   -                   
Instance_272        0.986400            77                  0                   32                  10                  -                   -                   
Instance_273        1.324300            85                  0                   32                  10                  -                   -                   
Instance_274        1.359300            44                  0                   32                  10                  -                   -                   
Instance_275        1.226400            68                  0                   32                  10                  -                   -                   
Instance_276        1.006000            60                  0                   32                  10                  -                   -                   
Instance_277        0.951700            59                  0                   32                  10                  -                   -                   
Instance_278        0.960100            41                  0                   32                  10                  -                   -                   
Instance_279        1.145800            62                  0                   32                  10                  -                   -                   
Instance_28         0.651300            42                  0                   64                  5                   -                   -                   
Instance_280        1.210100            93                  0                   32                  10                  -                   -                   
Instance_281        1.145100            90                  0                   48                  10                  -                   -                   
Instance_282        1.497100            131                 0                   48                  10                  -                   -                   
Instance_283        1.083900            124                 0                   48                  10                  -                   -                   
Instance_284        1.129400            122                 0                   48                  10                  -                   -                   
Instance_285        1.055300            91                  0                   48                  10                  -                   -                   
Instance_286        1.078500            109                 0                   48                  10                  -                   -                   
Instance_287        1.144300            85                  0                   48                  10                  -                   -                   
Instance_288        1.060100            155                 0                   48                  10                  -                   -                   
Instance_289        1.104400            90                  0                   48                  10                  -                   -                   
Instance_29         0.630900            98                  0                   64                  5                   -                   -                   
Instance_290        1.105400            106                 0                   48                  10                  -                   -                   
Instance_291        1.024100            203                 0                   64                  10                  -                   -                   
Instance_292        0.998200            130                 0                   64                  10                  -                   -                   
Instance_293        1.015100            167                 0                   64                  10                  -                   -                   
Instance_294        1.579500            142                 0                   64                  10                  -                   -                   
Instance_295        1.055800            121                 0                   64                  10                  -                   -                   
Instance_296        1.022200            77                  0                   64                  10                  -                   -                   
Instance_297        1.096000            153                 0                   64                  10                  -                   -                   
Instance_298        1.075200            119                 0                   64                  10                  -                   -                   
Instance_299        0.952800            153                 0                   64                  10                  -                   -                   
Instance_3          0.519500            35                  0                   32                  5                   -                   -                   
Instance_30         0.659800            56                  0                   64                  5                   -                   -                   
Instance_300        0.991000            211                 0                   64                  10                  -                   -                   
Instance_301        1.186500            99                  0                   48                  10                  -                   -                   
Instance_302        1.074900            101                 0                   48                  10                  -                   -                   
Instance_303        1.123800            38                  0                   48                  10                  -                   -                   
Instance_304        1.257600            55                  0                   48                  10                  -                   -                   
Instance_305        1.290600            102                 0                   48                  10                  -                   -                   
Instance_306        1.117200            57                  0                   48                  10                  -                   -                   
Instance_307        1.065700            61                  0                   48                  10                  -                   -                   
Instance_308        1.250700            49                  0                   48                  10                  -                   -                   
Instance_309        1.079400            77                  0                   48                  10                  -                   -                   
Instance_31         0.679500            55                  0                   48                  5                   -                   -                   
Instance_310        1.240000            64                  0                   48                  10                  -                   -                   
Instance_311        1.165000            155                 0                   72                  10                  -                   -                   
Instance_312        1.509600            229                 0                   72                  10                  -                   -                   
Instance_313        1.299000            75                  0                   72                  10                  -                   -                   
Instance_314        1.765200            188                 0                   72                  10                  -                   -                   
Instance_315        1.732700            103                 0                   72                  10                  -                   -                   
Instance_316        2.004900            156                 0                   72                  10                  -                   -                   
Instance_317        2.050200            133                 0                   72                  10                  -                   -                   
Instance_318        1.168800            115                 0                   72                  10                  -                   -                   
Instance_319        1.193600            213                 0                   72                  10                  -                   -                   
Instance_32         0.670000            45                  0                   48                  5                   -                   -                   
Instance_320        1.170400            183                 0                   72                  10                  -                   -                   
Instance_321        1.151500            269                 0                   96                  10                  -                   -                   
Instance_322        1.500500            206                 0                   96                  10                  -                   -                   
Instance_323        1.194700            214                 0                   96                  10                  -                   -                   
Instance_324        1.222000            320                 0                   96                  10                  -                   -                   
Instance_325        1.443400            217                 0                   96                  10                  -                   -                   
Instance_326        1.244900            195                 0                   96                  10                  -                   -                   
Instance_327        1.253400            146                 0                   96                  10                  -                   -                   
Instance_328        1.191300            274                 0                   96                  10                  -                   -                   
Instance_329        1.178600            226                 0                   96                  10                  -                   -                   
Instance_33         0.665400            37                  0                   48                  5                   -                   -                   
Instance_330        1.338000            237                 0                   96                  10                  -                   -                   
Instance_331        1.370600            54                  0                   64                  10                  -                   -                   
Instance_332        1.296000            57                  0                   64                  10                  -                   -                   
Instance_333        1.305300            96                  0                   64                  10                  -                   -                   
Instance_334        1.383400            160                 0                   64                  10                  -                   -                   
Instance_335        1.351900            53                  0                   64                  10                  -                   -                   
Instance_336        1.205400            67                  0                   64                  10                  -                   -                   
Instance_337        1.300300            92                  0                   64                  10                  -                   -                   
Instance_338        1.434500            76                  0                   64                  10                  -                   -                   
Instance_339        1.286300            59                  0                   64                  10                  -                   -                   
Instance_34         0.687300            37                  0                   48                  5                   -                   -                   
Instance_340        1.462100            82                  0                   64                  10                  -                   -                   
Instance_341        1.368000            173                 0                   96                  10                  -                   -                   
Instance_342        1.381800            261                 0                   96                  10                  -                   -                   
Instance_343        1.553400            156                 0                   96                  10                  -                   -                   
Instance_344        1.406100            255                 0                   96                  10                  -                   -                   
Instance_345        1.535600            132                 0                   96                  10                  -                   -                   
Instance_346        1.365800            174                 0                   96                  10                  -                   -                   
Instance_347        1.543300            95                  0                   96                  10                  -                   -                   
Instance_348        1.389700            185                 0                   96                  10                  -                   -                   
Instance_349        1.433300            90                  0                   96                  10                  -                   -                   
Instance_35         0.616300            75                  0                   48                  5                   -                   -                   
Instance_350        1.443800            218                 0                   96                  10                  -                   -                   
Instance_351        2.344200            295                 0                   128                 10                  -                   -                   
Instance_352        1.376500            277                 0                   128                 10                  -                   -                   
Instance_353        1.357500            324                 0                   128                 10                  -                   -                   
Instance_354        1.365500            252                 0                   128                 10                  -                   -                   
Instance_355        1.341100            293                 0                   128                 10                  -                   -                   
Instance_356        1.349100            198                 0                   128                 10                  -                   -                   
Instance_357        2.137200            341                 0                   128                 10                  -                   -                   
Instance_358        1.420200            154                 0                   128                 10                  -                   -                   
Instance_359        1.353400            277                 0                   128                 10                  -                   -                   
Instance_36         0.786200            62                  0                   48                  5                   -                   -                   
Instance_360        1.366800            415                 0                   128                 10                  -                   -                   
Instance_361        1.220900            32                  0                   48                  10                  -                   -                   
Instance_362        1.128000            57                  0                   48                  10                  -                   -                   
Instance_363        1.123600            98                  0                   48                  10                  -                   -                   
Instance_364        0.981200            84                  0                   48                  10                  -                   -                   
Instance_365        1.444900            119                 0                   48                  10                  -                   -                   
Instance_366        1.240500            84                  0                   48                  10                  -                   -                   
Instance_367        1.041100            63                  0                   48                  10                  -                   -                   
Instance_368        1.129200            96                  0                   48                  10                  -                   -                   
Instance_369        1.167600            106                 0                   48                  10                  -                   -                   
Instance_37         0.708400            39                  0                   48                  5                   -                   -                   
Instance_370        1.118800            199                 0                   48                  10                  -                   -                   
Instance_371        1.193600            162                 0                   72                  10                  -                   -                   
Instance_372        1.334000            186                 0                   72                  10                  -                   -                   
Instance_373        1.345700            243                 0                   72                  10                  -                   -                   
Instance_374        1.190900            118                 0                   72                  10                  -                   -                   
Instance_375        1.096100            163                 0                   72                  10                  -                   -                   
Instance_376        1.084600            230                 0                   72                  10                  -                   -                   
Instance_377        1.077300            285                 0                   72                  10                  -                   -                   
Instance_378        1.150600            168                 0                   72                  10                  -                   -                   
Instance_379        1.143700            177                 0                   72                  10                  -                   -                   
Instance_38         0.611900            57                  0                   48                  5                   -                   -                   
Instance_380        2.176000            237                 0                   72                  10                  -                   -                   
Instance_381        2.502400            270                 0                   96                  10                  -                   -                   
Instance_382        1.145100            198                 0                   96                  10                  -                   -                   
Instance_383        1.101700            286                 0                   96                  10                  -                   -                   
Instance_384        1.157400            348                 0                   96                  10                  -                   -                   
Instance_385        1.112500            236                 0                   96                  10                  -                   -                   
Instance_386        1.105100            269                 0                   96                  10                  -                   -                   
Instance_387        1.197700            233                 0                   96                  10                  -                   -                   
Instance_388        1.187900            223                 0                   96                  10                  -                   -                   
Instance_389        1.917500            295                 0                   96                  10                  -                   -                   
Instance_39         0.611600            76                  0                   48                  5                   -                   -                   
Instance_390        1.229700            118                 0                   96                  10                  -                   -                   
Instance_391        1.605300            161                 0                   72                  10                  -                   -                   
Instance_392        1.166800            199                 0                   72                  10                  -                   -                   
Instance_393        1.245500            58                  0                   72                  10                  -                   -                   
Instance_394        1.133100            198                 0                   72                  10                  -                   -                   
Instance_395        1.121200            168                 0                   72                  10                  -                   -                   
Instance_396        1.301200            138                 0                   72                  10                  -                   -                   
Instance_397        1.320500            147                 0                   72                  10                  -                   -                   
Instance_398        1.223800            193                 0                   72                  10                  -                   -                   
Instance_399        1.512800            114                 0                   72                  10                  -                   -                   
Instance_4          0.474400            29                  0                   32                  5                   -                   -                   
Instance_40         0.768300            98                  0                   48                  5                   -                   -                   
Instance_400        1.237400            82                  0                   72                  10                  -                   -                   
Instance_401        1.503700            202                 0                   108                 10                  -                   -                   
Instance_402        1.383200            297                 0                   108                 10                  -                   -                   
Instance_403        1.441300            372                 0                   108                 10                  -                   -                   
Instance_404        1.456200            284                 0                   108                 10                  -                   -                   
Instance_405        1.502900            298                 0                   108                 10                  -                   -                   
Instance_406        1.451600            265                 0                   108                 10                  -                   -                   
Instance_407        1.312100            251                 0                   108                 10                  -                   -                   
Instance_408        1.493500            298                 0                   108                 10                  -                   -                   
Instance_409        1.403800            225                 0                   108                 10                  -                   -                   
Instance_41         0.716700            129                 0                   72                  5                   -                   -                   
Instance_410        1.441900            353                 0                   108                 10                  -                   -                   
Instance_411        1.487100            186                 0                   144                 10                  -                   -                   
Instance_412        1.439200            421                 0                   144                 10                  -                   -                   
Instance_413        1.549900            212                 0                   144                 10                  -                   -                   
Instance_414        1.517100            293                 0                   144                 10                  -                   -                   
Instance_415        1.452300            351                 0                   144                 10                  -                   -                   
Instance_416        1.554000            208                 0                   144                 10                  -                   -                   
Instance_417        1.529500            257                 0                   144                 10                  -                   -                   
Instance_418        1.584300            409                 0                   144                 10                  -                   -                   
Instance_419        1.445600            333                 0                   144                 10                  -                   -                   
Instance_42         0.772000            149                 0                   72                  5                   -                   -                   
Instance_420        1.553900            364                 0                   144                 10                  -                   -                   
Instance_421        1.424600            266                 0                   96                  10                  -                   -                   
Instance_422        1.647800            189                 0                   96                  10                  -                   -                   
Instance_423        1.379500            203                 0                   96                  10                  -                   -                   
Instance_424        1.564500            196                 0                   96                  10                  -                   -                   
Instance_425        1.433300            212                 0                   96                  10                  -                   -                   
Instance_426        1.479100            171                 0                   96                  10                  -                   -                   
Instance_427        1.600600            140                 0                   96                  10                  -                   -                   
Instance_428        1.563700            373                 0                   96                  10                  -                   -                   
Instance_429        1.468600            158                 0                   96                  10                  -                   -                   
Instance_43         0.844400            93                  0                   72                  5                   -                   -                   
Instance_430        1.625900            203                 0                   96                  10                  -                   -                   
Instance_431        1.618600            253                 0                   144                 10                  -                   -                   
Instance_432        1.606300            289                 0                   144                 10                  -                   -                   
Instance_433        1.636600            254                 0                   144                 10                  -                   -                   
Instance_434        1.700500            409                 0                   144                 10                  -                   -                   
Instance_435        1.657800            401                 0                   144                 10                  -                   -                   
Instance_436        2.175600            280                 0                   144                 10                  -                   -                   
Instance_437        2.650000            467                 0                   144                 10                  -                   -                   
Instance_438        1.858500            347                 0                   144                 10                  -                   -                   
Instance_439        1.699100            296                 0                   144                 10                  -                   -                   
Instance_44         0.869200            67                  0                   72                  5                   -                   -                   
Instance_440        2.570500            404                 0                   144                 10                  -                   -                   
Instance_441        7.231500            469                 0                   192                 10                  -                   -                   
Instance_442        1.811200            465                 0                   192                 10                  -                   -                   
Instance_443        1.817700            378                 0                   192                 10                  -                   -                   
Instance_444        1.816900            469                 0                   192                 10                  -                   -                   
Instance_445        1.759800            547                 0                   192                 10                  -                   -                   
Instance_446        1.709900            327                 0                   192                 10                  -                   -                   
Instance_447        1.706300            403                 0                   192                 10                  -                   -                   
Instance_448        1.715200            534                 0                   192                 10                  -                   -                   
Instance_449        1.741100            471                 0                   192                 10                  -                   -                   
Instance_45         0.857800            118                 0                   72                  5                   -                   -                   
Instance_450        2.522700            397                 0                   192                 10                  -                   -                   
Instance_451        1.038700            192                 0                   64                  10                  -                   -                   
Instance_452        1.147000            104                 0                   64                  10                  -                   -                   
Instance_453        1.570400            178                 0                   64                  10                  -                   -                   
Instance_454        1.199200            180                 0                   64                  10                  -                   -                   
